base_std, ray_std, base_var, ray_var, working_set_ratio, object_store_size,object_size,baseline_pipeline,ray_pipeline
0.005516597316415472,0.007202064313111551,3.0432845951482383e-05,5.186973037019495e-05,1,1000000000,10000000,0.28389154900214636,0.28098662340198644
0.0007793756874314176,0.0032763560392104867,6.074264621591947e-07,1.0734508895671028e-05,1,1000000000,20000000,0.1831682241987437,0.18053703700425103
0.0049965888344876384,0.007845795518664716,2.4965899980926537e-05,6.155650732069934e-05,1,1000000000,40000000,0.3961735540011432,0.3956191631965339
0.013438290538729948,0.012812798016871126,0.00018058765260331883,0.00016416779302113666,1,1000000000,80000000,1.1842333082051482,1.1916478567989544
0.03468231821612058,0.028602675314304524,0.0012028631968442499,0.0008181130351355254,1,1000000000,160000000,1.1115841242019087,1.1273826539923903
0.4302184009869295,0.3447670374435619,0.18508787254775047,0.11886431010761042,1,4000000000,10000000,13.330089714797214,13.421206418203656
0.03537230533234257,0.02908271452988923,0.0012511999845244708,0.00084580428442703,1,4000000000,20000000,1.5201027197996155,1.4880841625970789
0.00909976981082123,0.0071566757036922056,8.280581060993344e-05,5.121800712781833e-05,1,4000000000,40000000,0.4352929622051306,0.4381416072079446
0.003935679775284505,0.004904346716936223,1.5489575293583493e-05,2.405261671992311e-05,1,4000000000,80000000,0.5307771534018684,0.5374049877922517
0.012398129009825442,0.015589078280532867,0.00015371360294427517,0.00024301936163658157,1,4000000000,160000000,1.6501921382092406,1.631299912405666
0.594945878351198,0.3280812399868186,0.3539605981670786,0.10763730003128846,1,8000000000,10000000,16.252545916003875,16.163292665802874
0.3969705245125314,0.19074882499910661,0.1575855973317543,0.0363851142385398,1,8000000000,20000000,13.447598210605793,13.209213231608738
0.04750025447295098,0.015481812779438265,0.0022562741749950995,0.00023968652693757796,1,8000000000,40000000,1.7110234535939526,1.6762160689977463
0.004812266854672484,0.004942049132390672,2.3157912280579396e-05,2.442384962696339e-05,1,8000000000,80000000,0.7058347998070531,0.7060699511901476
